comment_raw,comment_preprocessing,label_sentimen
Sengaja balik kesini karena kangen. Ini video tasya yang pertama kali aku tonton karena dulu penasaran sama produk ini. Trus kalo gak salah aku pernah tonton video tasya yang cerita ttg tasya kecil yang terobsesi dengan kulit tan sampe berjemur di loteng. Gak kerasa ternyata saya udah setua sekarang ini🫪🫪🫪 sementara tasya semakin cantik luar biasa🔥🔥🔥,sengaja kesini kangen video tasya kali tonton penasaran produk salah tonton video tasya cerita ttg tasya obsesi kulit tan jemur loteng rasa tua tasya cantik,positif
"Parah Focallure dan still exist till today. Ak masih pakai brow pomade nya klo promo bs dapat 28k 7 bulan belum habis juga. Skrg eyeshadownya juga udh formula baru gile bgt, eyebrow nya juga ada yg model sliding dan eye sharp. Ah gila keren deh pokoknya 🥹",parah focallure still exist till today ak pakai brow pomade nya promo bs k habis skrg eyeshadownya formula gile banget eyebrow nya model sliding eye sharp ah gila keren deh pokok,positif
Pernah borong makeup Focallure di shopee tahun 2017 sampe 300rban karena liat video Tasya yg ini 😂😂,borong makeup focallure shopee rban lihat video tasya,positif
2025 anyone? hahaha,anyone tertawa,netral
rewatch di tahun 2025😂,rewatch,netral
2025 Juni,juni,netral
2024 anyone? 😂😂😂,anyone,netral
"Memong, aku nonton di 2024😅",mong nonton,netral
"video ini udah 7 tahun ya, gak berasa",video ya asa,netral
Ktika orang berduit berkata satu produk diharga 100 an lalu berkata murah banget man 100😢lah belinya kite mikir 2000 kali,ktika orang duit produk harga an murah banget man beli kite mikir kali,negatif
Musik,musik,netral
apa dipikiran tasya nonton video ini lagi? foundie nya keputihan,pikir tasya nonton video foundie nya putih,negatif
"2023, anyone?",anyone,netral
rewatch 2023 wkwk,rewatch tertawa,netral
2023 anyone?,anyone,netral
Mama ayang 2023 nii😂😂 gimana nii,mama ayang nii gimana nii,netral
"Belum pernah pake Focallur. Mantap kayaknya tuh, hasil make up nya cantik banget",pakai focallur mantap kayak tuh hasil make up nya cantik banget,positif
Nonton 2022 🤣🙏,nonton,netral
2022 anyone? 🤣🙏🏻,anyone,netral
"2022 anyone?🤣
like literally 5yr agoooooooooo suaranya ka tasya imut bgt",anyone like literally yr ago suara kak tasya imut banget,netral
2022 wkwkwk,tertawa,netral
Pektay,pektay,netral
Ada yang dari 2022 ga nihhh???? Absennn dulu,absen,netral
2022 anyone?,anyone,netral
That is very true all pigmented I love all the colours I got all this brand ❤️❤️❤️❤️❤️ don't know how to say recommended 🤭😂 hasutan,that is very true all pigmented i love all the colours i got all this brand don t know how to say rekomendasi hasut,positif
Des 2021 dongg baru nnton,des dongg nnton,netral
OMG Kak Tasya kurus bgt dibanding yg sekarang,ya ampun kak tasya kurus banget banding,netral
GUEASIH NONTONIN INI MAMA AYANK😭,gueasih nontonin mama ayank,netral
"15:37 mau bilang bagus banget, tapi udh sadar kalo udh bilang ""bagus bgt"" like 999999999x :((( 😭😂😂😂",bilang bagus banget sadar bilang bagus banget like x,positif
sp yg liat ini di okt 2021..?🤣😅,sp lihat okt,netral
Tapi seriuss foccalure keren bgt👍👍 sampek2 seserahanku fullset foccalure sebagus itu donkk❤️❤️,seriuss foccalure keren banget sampek serah fullset foccalure bagus donkk,positif
baru 4th lalu,th,netral
"Tetiba keingat video ini sebelum tidur, kemudian scroll sampe bawah 🌝 i miss this kind of bacot so much , October 2021",tetiba ingat video tidur scroll i miss this kind of bacot so much october,netral
yg nonton thn 2021?,nonton thn,netral
2021 nih hahaha,tertawa,netral
2021 hi!,hi,netral
"2021 and still watch this, kangen closing zaman ini",and still watch this kangen closing zaman,netral
Ada yang nonton di september 2021 ?,nonton september,netral
Lagi menjelajah vidio lama kak Tasya.. Gak nyangka sekarang punya brand make up  sendiri... Semangat kak...,jelajah vidio kak tasya nyangka brand make up semangat kak,positif
"br prtm nyobak prodak Focallure lngsng jth cnt ,, emng bgs + hrg ny murah😘...",br prtm nyobak prodak focallure lngsng jth cnt emng bgs hrg ny murah,positif
2021 here's!!!!,here s,netral
2021 nihh🙌,nihh,netral
2021 anyone,anyone,netral
"2021, plis",plis,netral
Luvvv,luv,positif
2021? Anyone ? 😬,anyone,netral
2021 baru liat😭😭,lihat,netral
juli 2021 ?,juli,netral
2021 baru nonton,nonton,netral
2021 mantep!!,mantep,netral
"Bagus karena ada Maskaranya &. Eyeliner ya
Kalo gak pakek Make up (Eye nya) malah Ketebelan🤢 (emotikon x becanda)
😭",bagus maskara eyeliner ya pakek make up eye nya ketebelan emotikon x becanda,negatif
Lebih Cantik Gak usah Pakek make up,cantik pakek make up,positif
Kemenoran Make up nya,menor make up nya,negatif
Juni 2021 anyone?? 😂,juni anyone,netral
2021 here,here,netral
2021 doong like 😅💃,doong like,netral
"Jadi beli focallurre deh, ngikutin kak tasya",beli focallurre deh ngikutin kak tasya,positif
"Baru nonton 2021, dan skrg harganya ada yg diatas 200 heheh",nonton skrg harga atas heheh,netral
2021 masi Ada yg liat?????😂,mas lihat,netral
2021 mei here🙂,mei here,netral
2021 baru dateng🤭,dateng,netral
2021 beda beut kak tasya,beda beut kak tasya,negatif
Mei 2021 nonton ini.. sini kumpul,mei nonton kumpul,netral
2021 woyyy,woy,netral
hi 2021,hi,netral
2021 anyone??,anyone,netral
Siapa yg sama kek aq br nonton tahun 2021 hahaha,kek br nonton tertawa,netral
