comment_raw,comment_preprocessing,label_sentimen,label,indobert_text
Sengaja balik kesini karena kangen. Ini video tasya yang pertama kali aku tonton karena dulu penasaran sama produk ini. Trus kalo gak salah aku pernah tonton video tasya yang cerita ttg tasya kecil yang terobsesi dengan kulit tan sampe berjemur di loteng. Gak kerasa ternyata saya udah setua sekarang ini🫪🫪🫪 sementara tasya semakin cantik luar biasa🔥🔥🔥,sengaja kesini kangen video tasya kali tonton penasaran produk salah tonton video tasya cerita ttg tasya obsesi kulit tan jemur loteng rasa tua tasya cantik,positif,2,sengaja balik kesini karena kangen ini video tasya yang pertama kali aku tonton karena dulu penasaran sama produk ini terus kalau tidak salah aku pernah tonton video tasya yang cerita ttg tasya kecil yang terobsesi dengan kulit tan sampai berjemur di loteng tidak kerasa ternyata saya sudah setua sekarang ini sementara tasya semakin cantik luar biasa
"Parah Focallure dan still exist till today. Ak masih pakai brow pomade nya klo promo bs dapat 28k 7 bulan belum habis juga. Skrg eyeshadownya juga udh formula baru gile bgt, eyebrow nya juga ada yg model sliding dan eye sharp. Ah gila keren deh pokoknya 🥹",parah focallure still exist till today ak pakai brow pomade nya promo bs k habis skrg eyeshadownya formula gile banget eyebrow nya model sliding eye sharp ah gila keren deh pokok,positif,2,parah focallure dan still exist till today ak masih pakai brow pomade nya kalau promo bs dapat k bulan belum habis juga skrg eyeshadownya juga sudah formula baru gile banget eyebrow nya juga ada yang model sliding dan eye sharp ah gila keren deh pokoknya
Pernah borong makeup Focallure di shopee tahun 2017 sampe 300rban karena liat video Tasya yg ini 😂😂,borong makeup focallure shopee rban lihat video tasya,positif,2,pernah borong makeup focallure di shopee tahun sampai rban karena lihat video tasya yang ini
2025 anyone? hahaha,anyone tertawa,netral,1,anyone tertawa
rewatch di tahun 2025😂,rewatch,netral,1,rewatch di tahun
2025 Juni,juni,netral,1,juni
2024 anyone? 😂😂😂,anyone,netral,1,anyone
"Memong, aku nonton di 2024😅",mong nonton,netral,1,memong aku nonton di
"video ini udah 7 tahun ya, gak berasa",video ya asa,netral,1,video ini sudah tahun ya tidak berasa
Ktika orang berduit berkata satu produk diharga 100 an lalu berkata murah banget man 100😢lah belinya kite mikir 2000 kali,ktika orang duit produk harga an murah banget man beli kite mikir kali,negatif,0,ktika orang berduit berkata satu produk diharga an lalu berkata murah banget man lah belinya kite mikir kali
Musik,musik,netral,1,musik
apa dipikiran tasya nonton video ini lagi? foundie nya keputihan,pikir tasya nonton video foundie nya putih,negatif,0,apa dipikiran tasya nonton video ini lagi foundie nya keputihan
"2023, anyone?",anyone,netral,1,anyone
rewatch 2023 wkwk,rewatch tertawa,netral,1,rewatch tertawa
2023 anyone?,anyone,netral,1,anyone
Mama ayang 2023 nii😂😂 gimana nii,mama ayang nii gimana nii,netral,1,mama ayang nii gimana nii
"Belum pernah pake Focallur. Mantap kayaknya tuh, hasil make up nya cantik banget",pakai focallur mantap kayak tuh hasil make up nya cantik banget,positif,2,belum pernah pakai focallur mantap kayaknya tuh hasil make up nya cantik banget
Nonton 2022 🤣🙏,nonton,netral,1,nonton
2022 anyone? 🤣🙏🏻,anyone,netral,1,anyone
"2022 anyone?🤣
like literally 5yr agoooooooooo suaranya ka tasya imut bgt",anyone like literally yr ago suara kak tasya imut banget,netral,1,anyone like literally yr agoooooooooo suaranya kak tasya imut banget
2022 wkwkwk,tertawa,netral,1,tertawa
Pektay,pektay,netral,1,pektay
Ada yang dari 2022 ga nihhh???? Absennn dulu,absen,netral,1,ada yang dari tidak nihhh absennn dulu
2022 anyone?,anyone,netral,1,anyone
That is very true all pigmented I love all the colours I got all this brand ❤️❤️❤️❤️❤️ don't know how to say recommended 🤭😂 hasutan,that is very true all pigmented i love all the colours i got all this brand don t know how to say rekomendasi hasut,positif,2,that is very true all pigmented i love all the colours i got all this brand don t know how to say rekomendasi hasutan
Des 2021 dongg baru nnton,des dongg nnton,netral,1,des dongg baru nnton
OMG Kak Tasya kurus bgt dibanding yg sekarang,ya ampun kak tasya kurus banget banding,netral,1,ya ampun kak tasya kurus banget dibanding yang sekarang
GUEASIH NONTONIN INI MAMA AYANK😭,gueasih nontonin mama ayank,netral,1,gueasih nontonin ini mama ayank
"15:37 mau bilang bagus banget, tapi udh sadar kalo udh bilang ""bagus bgt"" like 999999999x :((( 😭😂😂😂",bilang bagus banget sadar bilang bagus banget like x,positif,2,mau bilang bagus banget tapi sudah sadar kalau sudah bilang bagus banget like x
sp yg liat ini di okt 2021..?🤣😅,sp lihat okt,netral,1,sp yang lihat ini di okt
Tapi seriuss foccalure keren bgt👍👍 sampek2 seserahanku fullset foccalure sebagus itu donkk❤️❤️,seriuss foccalure keren banget sampek serah fullset foccalure bagus donkk,positif,2,tapi seriuss foccalure keren banget sampek seserahanku fullset foccalure sebagus itu donkk
baru 4th lalu,th,netral,1,baru th lalu
"Tetiba keingat video ini sebelum tidur, kemudian scroll sampe bawah 🌝 i miss this kind of bacot so much , October 2021",tetiba ingat video tidur scroll i miss this kind of bacot so much october,netral,1,tetiba keingat video ini sebelum tidur kemudian scroll sampai bawah i miss this kind of bacot so much october
yg nonton thn 2021?,nonton thn,netral,1,yang nonton thn
2021 nih hahaha,tertawa,netral,1,ini tertawa
2021 hi!,hi,netral,1,hi
"2021 and still watch this, kangen closing zaman ini",and still watch this kangen closing zaman,netral,1,and still watch this kangen closing zaman ini
Ada yang nonton di september 2021 ?,nonton september,netral,1,ada yang nonton di september
Lagi menjelajah vidio lama kak Tasya.. Gak nyangka sekarang punya brand make up  sendiri... Semangat kak...,jelajah vidio kak tasya nyangka brand make up semangat kak,positif,2,lagi menjelajah vidio lama kak tasya tidak nyangka sekarang punya brand make up sendiri semangat kak
"br prtm nyobak prodak Focallure lngsng jth cnt ,, emng bgs + hrg ny murah😘...",br prtm nyobak prodak focallure lngsng jth cnt emng bgs hrg ny murah,positif,2,br prtm nyobak prodak focallure lngsng jth cnt emng bgs hrg ny murah
2021 here's!!!!,here s,netral,1,here s
2021 nihh🙌,nihh,netral,1,nihh
2021 anyone,anyone,netral,1,anyone
"2021, plis",plis,netral,1,plis
Luvvv,luv,positif,2,luvvv
2021? Anyone ? 😬,anyone,netral,1,anyone
2021 baru liat😭😭,lihat,netral,1,baru lihat
juli 2021 ?,juli,netral,1,juli
2021 baru nonton,nonton,netral,1,baru nonton
2021 mantep!!,mantep,netral,1,mantep
"Bagus karena ada Maskaranya &. Eyeliner ya
Kalo gak pakek Make up (Eye nya) malah Ketebelan🤢 (emotikon x becanda)
😭",bagus maskara eyeliner ya pakek make up eye nya ketebelan emotikon x becanda,negatif,0,bagus karena ada maskaranya eyeliner ya kalau tidak pakek make up eye nya malah ketebelan emotikon x becanda
Lebih Cantik Gak usah Pakek make up,cantik pakek make up,positif,2,lebih cantik tidak usah pakek make up
Kemenoran Make up nya,menor make up nya,negatif,0,kemenoran make up nya
Juni 2021 anyone?? 😂,juni anyone,netral,1,juni anyone
2021 here,here,netral,1,here
2021 doong like 😅💃,doong like,netral,1,doong like
"Jadi beli focallurre deh, ngikutin kak tasya",beli focallurre deh ngikutin kak tasya,positif,2,jadi beli focallurre deh ngikutin kak tasya
"Baru nonton 2021, dan skrg harganya ada yg diatas 200 heheh",nonton skrg harga atas heheh,netral,1,baru nonton dan skrg harganya ada yang diatas heheh
2021 masi Ada yg liat?????😂,mas lihat,netral,1,masi ada yang lihat
2021 mei here🙂,mei here,netral,1,mei here
2021 baru dateng🤭,dateng,netral,1,baru dateng
2021 beda beut kak tasya,beda beut kak tasya,negatif,0,beda beut kak tasya
Mei 2021 nonton ini.. sini kumpul,mei nonton kumpul,netral,1,mei nonton ini sini kumpul
2021 woyyy,woy,netral,1,woyyy
hi 2021,hi,netral,1,hi
2021 anyone??,anyone,netral,1,anyone
Siapa yg sama kek aq br nonton tahun 2021 hahaha,kek br nonton tertawa,netral,1,siapa yang sama kek aku br nonton tahun tertawa
"Ka tasyaa tibaa"" nemu ini di april 2021 wkwk katasya masih imut bangetssss 😭😍",kak tasyaa tibaa nemu april tertawa katasya imut bangets,netral,1,kak tasyaa tibaa nemu ini di april tertawa katasya masih imut bangetssss
KA riview make up otwoo KA🙏,kak riview make up otwoo kak,netral,1,kak riview make up otwoo kak
2021 wkwk,tertawa,netral,1,tertawa
2021 anyone🙂,anyone,netral,1,anyone
Maret ada nih ??,maret,netral,1,maret ada ini
Baru nntn ini di 2021.. ada yg sma?,nntn sma,netral,1,baru nntn ini di ada yang sma
Aku nonton di 2021😭 maaf tekat 3 tahun 😭,nonton maaf tekat,netral,1,aku nonton di maaf tekat tahun
Aku baru tau skrg...& Aku bli cuma 42rb...super amaziiiinggg...,skrg bli rb super amazing,netral,1,aku baru tahu skrg aku bli cuma rb super amaziiiinggg
2021 anyone 🤣🤪,anyone,netral,1,anyone
March 2021,march,netral,1,march
Mana yg nonton 2021 🙂,nonton,netral,1,mana yang nonton
2021 baru nonton 😂😂😂,nonton,netral,1,baru nonton
2021 maap🤣,maap,netral,1,maap
