comment,likes,author,processed_comment
Sengaja balik kesini karena kangen. Ini video tasya yang pertama kali aku tonton karena dulu penasaran sama produk ini. Trus kalo gak salah aku pernah tonton video tasya yang cerita ttg tasya kecil yang terobsesi dengan kulit tan sampe berjemur di loteng. Gak kerasa ternyata saya udah setua sekarang ini🫪🫪🫪 sementara tasya semakin cantik luar biasa🔥🔥🔥,0,@bundadarla,sengaja kesini kangen video tasya kali tonton penasaran produk salah tonton video tasya cerita ttg tasya obsesi kulit tan jemur loteng rasa tua tasya cantik
"Parah Focallure dan still exist till today. Ak masih pakai brow pomade nya klo promo bs dapat 28k 7 bulan belum habis juga. Skrg eyeshadownya juga udh formula baru gile bgt, eyebrow nya juga ada yg model sliding dan eye sharp. Ah gila keren deh pokoknya 🥹",0,@erinintyanishabrinaramadhi1928,parah focallure still exist till today ak pakai brow pomade nya promo bs k habis skrg eyeshadownya formula gile banget eyebrow nya model sliding eye sharp ah gila keren deh pokok
Pernah borong makeup Focallure di shopee tahun 2017 sampe 300rban karena liat video Tasya yg ini 😂😂,0,@alinea4708,borong makeup focallure shopee rban lihat video tasya
2025 anyone? hahaha,1,@romiri9396,anyone tertawa
rewatch di tahun 2025😂,0,@saniabaasan2805,rewatch
2025 Juni,0,@beningembun681,juni
2024 anyone? 😂😂😂,0,@JirinAriyoja,anyone
"Memong, aku nonton di 2024😅",0,@rifa.t21,mong nonton
"video ini udah 7 tahun ya, gak berasa",0,@odiedidie,video ya asa
Ktika orang berduit berkata satu produk diharga 100 an lalu berkata murah banget man 100😢lah belinya kite mikir 2000 kali,0,@elensondakh_,ktika orang duit produk harga an murah banget man beli kite mikir kali
Musik,0,@pradnyaparamita4324,musik
apa dipikiran tasya nonton video ini lagi? foundie nya keputihan,0,@wesabhadrasana4189,pikir tasya nonton video foundie nya putih
"2023, anyone?",1,@ifa88ch,anyone
rewatch 2023 wkwk,0,@alifiarahmazayyan1800,rewatch tertawa
2023 anyone?,1,@bidanyuni7496,anyone
Mama ayang 2023 nii😂😂 gimana nii,0,@nisaalexandriapriscanara5613,mama ayang nii gimana nii
"Belum pernah pake Focallur. Mantap kayaknya tuh, hasil make up nya cantik banget",0,@bilikcantik88,pakai focallur mantap kayak tuh hasil make up nya cantik banget
Nonton 2022 🤣🙏,0,@alexandersdaily6332,nonton
2022 anyone? 🤣🙏🏻,1,@alittleyehetandyohorat7365,anyone
"2022 anyone?🤣
like literally 5yr agoooooooooo suaranya ka tasya imut bgt",0,@atubyiz,anyone like literally yr ago suara kak tasya imut banget
2022 wkwkwk,0,@suciindry2445,tertawa
Pektay,0,@defcrossstitch,pektay
Ada yang dari 2022 ga nihhh???? Absennn dulu,1,@erikaardian5712,absen
2022 anyone?,0,@veneziaabhigael9958,anyone
That is very true all pigmented I love all the colours I got all this brand ❤️❤️❤️❤️❤️ don't know how to say recommended 🤭😂 hasutan,0,@eliacyrus84,that is very true all pigmented i love all the colours i got all this brand don t know how to say rekomendasi hasut
Des 2021 dongg baru nnton,0,@maganiyoga4575,des dongg nnton
OMG Kak Tasya kurus bgt dibanding yg sekarang,0,@supriani7956,ya ampun kak tasya kurus banget banding
GUEASIH NONTONIN INI MAMA AYANK😭,0,@eichjahhh4815,gueasih nontonin mama ayank
"15:37 mau bilang bagus banget, tapi udh sadar kalo udh bilang ""bagus bgt"" like 999999999x :((( 😭😂😂😂",0,@lyapus08,bilang bagus banget sadar bilang bagus banget like x
sp yg liat ini di okt 2021..?🤣😅,0,@familybaik3341,sp lihat okt
Tapi seriuss foccalure keren bgt👍👍 sampek2 seserahanku fullset foccalure sebagus itu donkk❤️❤️,0,@rismada2024,seriuss foccalure keren banget sampek serah fullset foccalure bagus donkk
baru 4th lalu,0,@sitivaromdhona6108,th
"Tetiba keingat video ini sebelum tidur, kemudian scroll sampe bawah 🌝 i miss this kind of bacot so much , October 2021",0,@fadilahpakaya8955,tetiba ingat video tidur scroll i miss this kind of bacot so much october
yg nonton thn 2021?,0,@salwaaaqilah4986,nonton thn
2021 nih hahaha,0,@putrimei5181,tertawa
2021 hi!,0,@adheariyantih247,hi
"2021 and still watch this, kangen closing zaman ini",0,@shabilaputri1279,and still watch this kangen closing zaman
Ada yang nonton di september 2021 ?,0,@aniss2525,nonton september
Lagi menjelajah vidio lama kak Tasya.. Gak nyangka sekarang punya brand make up  sendiri... Semangat kak...,0,@wulanindrawati2715,jelajah vidio kak tasya nyangka brand make up semangat kak
"br prtm nyobak prodak Focallure lngsng jth cnt ,, emng bgs + hrg ny murah😘...",0,@melindabwi6413,br prtm nyobak prodak focallure lngsng jth cnt emng bgs hrg ny murah
2021 here's!!!!,0,@t.i.aa.r.a,here s
2021 nihh🙌,0,@nadiaonaddd,nihh
2021 anyone,1,@Dinda-dt8ib,anyone
"2021, plis",0,@hapsahazzahra3508,plis
Luvvv,0,@hostalbonita,luv
2021? Anyone ? 😬,0,@mahalestine7793,anyone
2021 baru liat😭😭,0,@miftahulkhairayanni80,lihat
juli 2021 ?,0,@roslina5617,juli
2021 baru nonton,0,@marifahsholicha4760,nonton
2021 mantep!!,0,@indahseptiyanilampura9881,mantep
"Bagus karena ada Maskaranya &. Eyeliner ya
Kalo gak pakek Make up (Eye nya) malah Ketebelan🤢 (emotikon x becanda)
😭",0,@ninanina-bc6lk,bagus maskara eyeliner ya pakek make up eye nya ketebelan emotikon x becanda
Lebih Cantik Gak usah Pakek make up,0,@ninanina-bc6lk,cantik pakek make up
Kemenoran Make up nya,0,@ninanina-bc6lk,menor make up nya
Juni 2021 anyone?? 😂,0,@nitapuspita4044,juni anyone
2021 here,0,@ascella7176,here
2021 doong like 😅💃,0,@dewibetandfams2617,doong like
"Jadi beli focallurre deh, ngikutin kak tasya",0,@intansalon_makeup3006,beli focallurre deh ngikutin kak tasya
"Baru nonton 2021, dan skrg harganya ada yg diatas 200 heheh",0,@melindamoo2553,nonton skrg harga atas heheh
2021 masi Ada yg liat?????😂,0,@selvikurniawati9334,mas lihat
2021 mei here🙂,0,@tatadut,mei here
2021 baru dateng🤭,0,@Huntingmainandepok,dateng
2021 beda beut kak tasya,0,@_b2651,beda beut kak tasya
Mei 2021 nonton ini.. sini kumpul,1,@ikamaratus6746,mei nonton kumpul
2021 woyyy,0,@nazwafau8219,woy
hi 2021,0,@nadifulfia5290,hi
2021 anyone??,0,@tapmesonic9212,anyone
Siapa yg sama kek aq br nonton tahun 2021 hahaha,0,@tehochamozza8261,kek br nonton tertawa
"Ka tasyaa tibaa"" nemu ini di april 2021 wkwk katasya masih imut bangetssss 😭😍",0,@rusmakamila1982,kak tasyaa tibaa nemu april tertawa katasya imut bangets
KA riview make up otwoo KA🙏,0,@zahranursakinah4868,kak riview make up otwoo kak
2021 wkwk,1,@hildanurislami1611,tertawa
2021 anyone🙂,0,@rmoonbaby6918,anyone
Maret ada nih ??,0,@berihampersid,maret
Baru nntn ini di 2021.. ada yg sma?,0,@lusianalestari7,nntn sma
Aku nonton di 2021😭 maaf tekat 3 tahun 😭,0,@ghanirdharma8374,nonton maaf tekat
Aku baru tau skrg...& Aku bli cuma 42rb...super amaziiiinggg...,0,@valvinfamily9518,skrg bli rb super amazing
2021 anyone 🤣🤪,0,@geofaniaching225,anyone
March 2021,0,@bellachintiaharahap6174,march
Mana yg nonton 2021 🙂,0,@salwamaurizaa1527,nonton
2021 baru nonton 😂😂😂,0,@qhiena03,nonton
2021 maap🤣,0,@isnaenimaulidya3026,maap
"Selamat Pagi/Siang/Sore

Perkenalkan nama saya Yuni Astuti mahasiswi Public Relations Universitas Mercu Buana yang sedang melakukan penelitian mengenai Pengaruh Penggunaan Youtube One Brand Make Up Tutorial Tasya Farasya Terhadap Peningkatan Citra Focallure untuk keperluan Tugas Akhir S1 yang saat ini saya jalani.

Adapun kriteria dalam penelitian adalah sebagai berikut:
1.	Perempuan
2.	Berusia 18-34 tahun
3.	Viewers video One Brand Make Up Tutorial “Focallure” Tasya Farasya

Saya berharap Saudari memberikan kesediaan waktunya untuk berpartisipasi dalam menjawab kuesioner ini secara tepat. 

Berikut Link untuk pengisian google form : 
https://forms.gle/2iozvxZxMybdjVd19

Atas bantuan kalian dalam pengisian kuesioner ini, saya ucapkan terimakasih.",0,@yuniastuti9958,selamat pagi siang sore kenal nama yuni astuti mahasiswi public relations universitas mercu buana teliti pengaruh guna youtube one brand make up tutorial tasya farasya tingkat citra focallure perlu tugas s jalan kriteria teliti perempuan usia viewers video one brand make up tutorial focallure tasya farasya harap saudari sedia partisipasi kuesioner link isi google form bantu isi kuesioner ucap terimakasih
2021 here?,0,@infomakeup5975,here
2021 guys?😂😂😂,0,@anisawawidya6415,guys
"Makin sini makin muda😭
Btw 2021",0,@mutsukihiruzumi3989,muda ngomong-ngomong
17 februari 2021 :),1,@egitabudianasetiawati3269,februari
Dulu udh nonton trs balik nonton lagi liat tasya Disini kurus bgt,0,@nadiananf3501,nonton nonton lihat tasya kurus banget
"Karena nonton Tasya aku jadi otw beli Focallure, dan jadi suka banget sama Focallure.",1,@fsesshorin9931,nonton tasya jalan beli focallure suka banget focallure
Februari 2021 dong :),1,@zalfaqirani1105,februari
februari 2021🙏,2,@sobrinawahidah1111,februari
"Ada yg masih lihat tutorial makeup nya bulan februari 2021, kallo ada kita satu server 🤭😁",0,@novitaerlin5248,lihat tutorial makeup nya februari kallo server
Yang baru nonton 2021 😭❤,1,@ebveronicaw6194,nonton
"OMG!!!! Kak Tasyaaaaaa.... Kk tau gak sih???? Video kk ini thumbnail nya di jadiiin foto sama Official Focallure di aplikasi olshop China 😱😱😱 btw aku tinggal di China, salam kenal ya kak 🥰🤗😘

Keren abis sumpah 👏👏",1,@madamlucy88,ya ampun kak tasya kak sih video kak thumbnail nya jadin foto official focallure aplikasi online shop china ngomong-ngomong tinggal china salam kenal ya kak keren abis sumpah
Pasti gaada yang nonton di 2021,1,@alyssasofiaainunnisya4603,gaada nonton
