comment,likes,author
Sengaja balik kesini karena kangen. Ini video tasya yang pertama kali aku tonton karena dulu penasaran sama produk ini. Trus kalo gak salah aku pernah tonton video tasya yang cerita ttg tasya kecil yang terobsesi dengan kulit tan sampe berjemur di loteng. Gak kerasa ternyata saya udah setua sekarang ini🫪🫪🫪 sementara tasya semakin cantik luar biasa🔥🔥🔥,0,@bundadarla
"Parah Focallure dan still exist till today. Ak masih pakai brow pomade nya klo promo bs dapat 28k 7 bulan belum habis juga. Skrg eyeshadownya juga udh formula baru gile bgt, eyebrow nya juga ada yg model sliding dan eye sharp. Ah gila keren deh pokoknya 🥹",0,@erinintyanishabrinaramadhi1928
Pernah borong makeup Focallure di shopee tahun 2017 sampe 300rban karena liat video Tasya yg ini 😂😂,0,@alinea4708
2025 anyone? hahaha,1,@romiri9396
2025 ada?,1,@elizabethana5420
rewatch di tahun 2025😂,0,@saniabaasan2805
2025 Juni,0,@beningembun681
2024 anyone? 😂😂😂,0,@JirinAriyoja
2024-9-16🎉🎉🎉🎉🎉,0,@dwindarichanell3866
"Memong, aku nonton di 2024😅",0,@rifa.t21
"video ini udah 7 tahun ya, gak berasa",0,@odiedidie
2024,0,@BenySetiawan-m1m
Ktika orang berduit berkata satu produk diharga 100 an lalu berkata murah banget man 100😢lah belinya kite mikir 2000 kali,0,@elensondakh_
Musik,0,@pradnyaparamita4324
apa dipikiran tasya nonton video ini lagi? foundie nya keputihan,0,@wesabhadrasana4189
2023 😅,0,@v.reinern.d4358
"2023, anyone?",1,@ifa88ch
rewatch 2023 wkwk,0,@alifiarahmazayyan1800
2023 anyone?,1,@bidanyuni7496
Mama ayang 2023 nii😂😂 gimana nii,0,@nisaalexandriapriscanara5613
"Belum pernah pake Focallur. Mantap kayaknya tuh, hasil make up nya cantik banget",0,@bilikcantik88
Nonton 2022 🤣🙏,0,@alexandersdaily6332
2022 anyone? 🤣🙏🏻,1,@alittleyehetandyohorat7365
2022 😂☝️,0,@lufisafrina1456
2022 🙄🤣,0,@kristiana7906
2022,1,@rezaputra1842
"2022 anyone?🤣
like literally 5yr agoooooooooo suaranya ka tasya imut bgt",0,@atubyiz
2022 wkwkwk,0,@suciindry2445
2022 💧,1,@axzellychwe9727
2022 ?? 😂😂😂,0,@yusa1430
Pektay,0,@defcrossstitch
Ada yang dari 2022 ga nihhh???? Absennn dulu,1,@erikaardian5712
2022 anyone?,0,@veneziaabhigael9958
That is very true all pigmented I love all the colours I got all this brand ❤️❤️❤️❤️❤️ don't know how to say recommended 🤭😂 hasutan,0,@eliacyrus84
2022?,1,@niswaulyanafisah25
2022,0,@gloriapoosha884
Des 2021 dongg baru nnton,0,@maganiyoga4575
OMG Kak Tasya kurus bgt dibanding yg sekarang,0,@supriani7956
GUEASIH NONTONIN INI MAMA AYANK😭,0,@eichjahhh4815
