comment_raw,comment_preprocessing,label_sentimen,label
ka tasyaaaa bacottnyaaa ihh meni pengen punya pabriknya. hahhaha love uuu kaaaa,kak tasya bacottnya ihh meni pabrik hahhaha love u kak,positif,2
kk tasya operasi plastik ya kok cantik banget sih kayak barbie hhh,kak tasya operasi plastik ya cantik banget sih kayak barbie h,positif,2
FEBRUARI 2019???,februari,netral,1
 @ingrinadiana2419  belinya dimana kak?,beli mana kak,positif,2
Yg nonton April dong mana nih???,nonton april,netral,1
"Youtuber yg paling gw suka
-Tasya Farasya😉
-Ashila Sikado
-Nanda Arsyinta
-Indira Khalista
-Niana Guerrero
-Ranz Kyle
-Ria Ricis
-Gen Halilintar
-Bastian steel
-AA Utap
-(Gatau lagi lupaa Banyak banget)!😂😉😆",youtuber suka tasya farasya ashila sikado nanda arsyinta indira khalista niana guerrero ranz kyle ria ricis gen halilintar bastian steel aa utap gatau lupaa banget,positif,2
hi 2021,hi,netral,1
Kak foundienya bagusan itu atau La Girl?,kak foundienya bagus la girl,positif,2
"Kak tasya, dari yang aku baca Focallure ini asalnya dari US dan harga produk2nya belasan dollar, tapi aku pernah liat di Aliexpress ada juga dengan harga di bawah 10 dollar, don't you worry about that? pengen beli tapi takut soalnya..",kak tasya baca focallure asal us harga produk nya bas dollar lihat aliexpress harga dollar don t you worry about that beli takut,positif,2
Keren cantik loooo,keren cantik lo,positif,2
kak review produk nya foccalure lagi dong kak yang lip matte crayon,kak review produk nya foccalure kak lip matte crayon,netral,1
"ka Tasya,,Lighting nya terlalu teraaangg ...",kak tasya lighting nya terangg,netral,1
Kak Collabs sma Jeffree Star please,kak collabs sma jeffree star please,netral,1
Tasya kamu nih lucu bgt sihhh 😆😆,tasya lucu banget sih,netral,1
"Jam 12 ku nonton ini gara2 lihat snap kamu,gilakkkk sukaaa bangetttt ❤️❤️❤️❤️",jam ku nonton gara lihat snap gilak suka banget,positif,2
setujuuu,tuju,netral,1
eyeshadownya yang isi 9 sama 10 pigmentasinya sama ngga ya?,eyeshadownya isi pigmentasi ya,netral,1
2024 anyone? 😂😂😂,anyone,netral,1
"Kak, aku liat d shopee kok hrganya mahal2 ya trus ars fashion yg di tangerang ga buka di shopee apa? Ongkirnya jd mahal bgt klo dari pontianak :(",kak lihat d shopee hrganya mahal ya ars fashion tangerang buka shopee ongkirnya mahal banget pontianak,negatif,0
"❤❤❤selamat datang di toko kami ,kami jual produk focallure termurah.❤❤❤
❤❤https://shopee.co.id/shop/69014697/❤❤",selamat toko jual produk focallure murah,positif,2
belinya di mana kak,beli kak,positif,2
ketahanan lipstiknya gmana?soalnya aku ada yg suka bgt warnanya...,tahan lipstik gmana suka banget warna,positif,2
Kak beli focallure Dimana ya,kak beli focallure mana ya,positif,2
Sukses dan semangat slalu ka Tasya 😘 Love You 😍,sukses semangat slalu kak tasya love you,positif,2
itu kakak pke bulu mata apa gk ya??,kakak pakai bulu mata ya,netral,1
tasya farasya ka aku mau nanya foundienya focallure awet ga ya? Sama gatel ga? Soalnya aku mau beli bingung. Makasi kaa,tasya farasya kak nanya foundienya focallure awet ya gatel beli bingung makas kak,positif,2
ka itu pake bulu mata atau real cuman pake maskara aja?,kak pakai bulu mata real cuman pakai maskara,netral,1
kak racun banget parah :( cocok jadi sales focallure wkwkw 😂😍,kak racun banget parah cocok sales focallure wkwkw,positif,2
